,feature,support,ranking,mean score,std score
395,D_114_0.0_6_periods_max,False,108,0.7816978820762759,0.0012326098705523806
107,R_19,False,109,0.782476444954187,0.0018324233285698288
36,B_12,False,110,0.7761110161400557,0.002144595901751132
350,D_111_13_periods_sum,False,111,0.7816978810864608,0.0012326110580296948
138,D_108,False,112,0.7829767628908609,0.0024544837649146
363,D_125_13_periods_logmax,False,113,0.7816978846498186,0.001232609396784737
133,D_107,False,114,0.7829783163390802,0.0017429678950364323
307,D_84_13_periods_logmax,False,115,0.7817572108241682,0.0013336627415121052
32,S_6,False,116,0.7759604706922762,0.002734695725488959
71,D_75,False,117,0.7812153467543796,0.0021119343274720666
95,R_15,False,118,0.7822156769307911,0.0022642209442744845
180,B_38_1.0,False,119,0.7823469015490755,0.002301470773295859
145,S_27,False,120,0.7829584526078164,0.002211665177488297
377,D_137_13_periods_logmin,False,121,0.7816978837589792,0.0012326091315331034
354,S_27_13_periods_logmin,False,122,0.7816978787109023,0.0012326123433436913
272,S_13_6_periods_min,False,123,0.782130861425994,0.001698893053290257
341,D_105_13_periods_sum,False,124,0.7816978807895205,0.0012326114359345328
78,D_78,False,125,0.7816203560525133,0.0023356873598755594
155,D_127,False,126,0.7824949130932707,0.002168687827747903
168,D_137,False,127,0.7827687699035031,0.0018284252345267952
21,B_8,False,128,0.7707231280263313,0.0016972862757504842
306,R_15_13_periods_std,False,129,0.7817572091414813,0.0013336639802699662
378,D_138_13_periods_std,False,130,0.7816978847487863,0.0012326086742246501
310,S_18_13_periods_logsum,False,131,0.781757208052696,0.0013336670351399118
187,D_114_0.0,False,132,0.7826667613980475,0.002036258482036726
408,D_126_-1.0_13_periods_last-first,False,133,0.7816978790078415,0.0012326124178035195
158,B_41,False,134,0.7829948089195059,0.0023779590951561055
199,D_120_1.0,False,135,0.7827301870640646,0.0019023277501469097
147,D_115,False,136,0.7832205121788628,0.0019214068668623125
86,B_27,False,137,0.78237533031089,0.001779752611758043
257,R_5_13_periods_logmean,False,138,0.7826672037795145,0.0018692573184289638
164,R_28,False,139,0.7829073679503491,0.0021767121813672783
70,D_74,False,140,0.7807191877565185,0.0022013450512779905
122,D_96,False,141,0.7829698973662703,0.001791393850007423
299,D_81_13_periods_logmax,False,142,0.7819373897472317,0.0012155596059049648
320,R_20_13_periods_logmax,False,143,0.7816978829671224,0.0012326100092711451
370,D_131_13_periods_logmax,False,144,0.7816978810864608,0.001232610688350495
106,S_19,False,145,0.7821771525776973,0.0015351006912099475
100,D_86,False,146,0.7813755312402191,0.0022324122372984717
311,D_86_13_periods_logsum,False,147,0.7817572063700163,0.0013336680906830085
156,D_128,False,148,0.7828035872618976,0.0017792964743593672
331,R_25_13_periods_std,False,149,0.7816978876193355,0.001232607746257109
104,D_88,False,150,0.7819305577608042,0.0020614115826106463
160,D_130,False,151,0.7830032547840071,0.0016985730371156297
330,R_24_13_periods_max,False,152,0.7816978821752693,0.0012326116639825382
250,S_6_13_periods_std,False,153,0.7824346227673356,0.0016931815917903474
184,B_38_5.0,False,154,0.7826670519997734,0.0014811892915972719
136,R_26,False,155,0.7830511803084625,0.00216336966653305
40,B_13,False,156,0.7769406379920646,0.002004152514256036
403,D_117_4.0_13_periods_sum,False,157,0.7816978831650718,0.0012326091177040281
414,D_63_XM_13_periods_std,False,158,0.7816978855406301,0.0012326065889200644
